top10,Highway Name,From DFO,To DFO,Length (mi),Number of Crashes (5 Years),Crashes Per Mile Per Year,Average Lanes,Crashes Per Mile Per Lane Per Year,2019 Average AADT,2019 Average VMT (100M),Crashes Per 100M VMT
1,IH0610,7.9510000000000005,11.62,3.675239,4346,236.50162615274817,7.5,6.306710030739951,219568.125,2.9454234769725938,295.10187814941753
2,IH0069,28.63,34.144,5.523593,564,20.42149014237653,9.517241379310345,0.4291472566151589,255627.37931034484,5.1537328508294245,21.88704833271409
3,IH0069,34.144,37.165,3.0262020000000005,226,14.936213775551002,7.090909090909091,0.421277824438618,149252.27272727274,1.6485864707461366,27.417427476244452
4,IH0045,40.598,48.49,7.905374,5920,149.77153516076532,7.416666666666667,4.03878297062738,198826.45833333334,5.737060926904521,206.37744920007972
5,IH0010,751.727,755.189,3.467575,3715,214.27078001196801,6.166666666666667,6.949322594982746,285418.5,3.6124417012518752,205.6780597296606
6,IH0610,11.62,17.840999999999998,6.231546,3241,104.01913104709489,9.23076923076923,2.253747839353723,192789.84615384616,4.385032600438246,147.82102188595317
7,IH0045,51.6,60.96,9.376923000000001,9687,206.61361941438568,8.133333333333333,5.080662772484894,251257.33333333334,8.599475437659802,225.2928116423843
8,IH0010,767.4580000000001,769.03,1.575002,630,79.99989841282742,7.428571428571429,2.153843418806892,165008.0,0.9485909445584001,132.82859247476486
9,IH0010,755.189,761.806,6.629181,5120,154.46855350608166,8.823529411764707,3.501287212804517,315506.23529411765,7.634149982435525,134.13412133059938
10,IH0045,48.891999999999996,51.6,2.712559,1743,128.51333371919281,8.0,3.2128333429798204,208537.4,2.06469550440409,168.8384554799583
