Attribute,Data_Type
Crash_ID,int64
Cmv_Involv_Fl,object
Crash_Date,object
Crash_Time,object
Crash_Speed_Limit,int64
Wthr_Cond_ID,int64
Light_Cond_ID,int64
Surf_Cond_ID,int64
Traffic_Cntl_ID,int64
Harm_Evnt_ID,int64
Intrsct_Relat_ID,float64
FHE_Collsn_ID,int64
Road_Relat_ID,float64
Cnty_ID,int64
City_ID,int64
Latitude,float64
Longitude,float64
Hwy_Sys,object
Hwy_Nbr,object
Dfo,float64
Street_Name,object
Onsys_Fl,object
Rural_Fl,object
Crash_Sev_ID,int64
Day_of_Week,object
Shldr_Width_Left,float64
Shldr_Width_Right,float64
Median_Width,float64
Nbr_Of_Lane,float64
Func_Sys_ID,float64
Adt_Curnt_Amt,float64
Adt_Curnt_Year,float64
Trk_Aadt_Pct,float64
Curve_Type_ID,float64
Curve_Lngth,float64
Cd_Degr,float64
Sus_Serious_Injry_Cnt,int64
Nonincap_Injry_Cnt,int64
Poss_Injry_Cnt,int64
Non_Injry_Cnt,int64
Unkn_Injry_Cnt,int64
Tot_Injry_Cnt,int64
Death_Cnt,int64
Year,object
