Number,Street_Name
0,SH0130
1,RM0620
2,RM2244
3,FM1626
4,RM3238
5,IH0035
6,FM0812
7,SL0275
8,SH0071
9,RM2222
10,SL0001
11,FM0734
12,RM1826
13,US0183
14,US0290
15,FM1825
16,FM1325
17,SL0360
18,FM0969
19,SL0343
20,SS0069
21,RR0620
22,FM0685
23,FM0973
24,US0035
25,FM2304
26,RM2769
27,FM1327
28,SL0111
29,MANCHACA RD RD
30,FM3177
31,SH0000
32,US0071
33,SH0045
34,FM1625
35,AL0001
36,RM1431
37,FM0620
38,IH0001
39,RM0012
40,SH0183
41,SH0035
42,FM1431
43,FM2222
44,SH0290
45,FM1100
46,SH0360
47,SH0001
48,IH0071
49,SH0095
50,SH0165
51,IH0183
52,RM2322
53,N LAMAR BLVD
54,US0290W
55,RM1825
56,US4800
57,BU1200
58,US0360
59,MONTOPOLIS DR
60,N CAPITAL OF TEXAS HWY
61,E RIVERSIDE DR
62,SL0212
63,FM1826
64,RR0012
65,W SLAUGHTER LN
66,SL0183
67,FM0183
68,US0001
69,BI0035
70,IH1900
71,IH6600
72,FS1825
73,BU0183
74,BI0183
75,SH8200
76,2106 YELLOW JACKET LOOP
77,E BRAKER LN
78,BS0130
79,AL0620
80,S IH 35 SVC RD NB
81,FM0360
82,GIVENS PARK
83,PR0183
84,PR2508
85,N PARKFIELD DR
86,E US 290 HWY
87,W 3RD ST
88,S IH 35 SVRD SB
89,MANOR RD
90,BS0071
91,IH0032
92,AL0734
93,SH5400
94,BI0001
95,IH1400
96,8801 S IH 35 NB
97,BF0620
98,FM2244
99,FM073S
100,US9300
101,FS0001
102,HURST CREEK RD
103,SP0000
104,SH0021
105,SP2300
106,FM0720
107,US3600
108,LOWER FALLS RD
109,US0620
110,BU0933
111,S MOPAC EXPY
112,US290E
113,MONTEREY OAKS BLVD
114,FM0535
115,FM2769
116,IH0290
117,NE SPRINGDALE RD
118,BI0071
119,SH7100
120,CITY PARK RD
121,SL0002
122,TRINITY ST
123,BF0183
124,IH4500
125,S LAMAR BLVD SB
126,US0000
127,US1183
128,AIRPORT BLVD
129,SL0314
130,CROSS PARK DR
131,AL2508
132,BI0045
133,IH0720
134,SL0000
135,BU0290
136,IH0620
137,CR 290
138,SL0071
139,BS0290
140,W W WILLIAM CANNON DR
141,PARKER LN
142,RM0734
143,IH0025
144,SL4000
145,SH2244
146,SH1431
147,SP2100
148,AL0002
149,RR2244
150,MEARNS MEADOW BLVD
151,BF2222
152,N IH 35 SVRD NB
153,BU0071
154,SH7300
155,RR2222
156,N SPIRIT OF TEXAS DR DR
157,US0130
158,IH0360
159,CAMPING LOOP ROAD BIG CEDAR RD
160,LONGVIEW RD RD
161,BF0973
162,MICHAEL ANGELO WAY
163,IH8200
164,FM1966
165,STEINER RANCH BLVD
166,AL0290
167,BF0290
168,ANDREW ZILKER RD
169,E E 12TH ST ST
170,US3800
171,BU0035
172,BS0360
173,BI0850
174,PR0000
175,RR0973
176,FM3238
